trial,object,waypoints,trajopt cost,trajopt time,,,,
1,3,43,5.637,3.668,,,,
2,3,43,5.637,3.215,,,,
3,1,43,0,17.23,,,,
4,1,43,0,17.388,,,,
5,2,43,6.117,4.196,,,,
6,1,43,0,17.431,,,,
7,1,43,0,17.184,,,average cost,3.83685
8,1,43,0,16.835,,,,
9,2,43,6.117,5.315,,,average time,6.37088
10,1,43,0,17.432,,,,
11,2,43,6.117,4.193,,,feasible rate,0.65
12,1,43,0,17.507,,,,
13,2,43,6.117,4.969,,,,
14,1,43,0,16.907,,,,
15,2,43,6.117,5.215,,,,
16,1,43,0,16.885,,,,
17,2,43,6.117,4.67,,,,
18,1,43,0,18.911,,,,
19,2,43,6.117,4.831,,,,
20,2,43,6.117,4.002,,,,
21,3,43,5.637,2.96,,,,
22,1,43,0,19.072,,,,
23,3,43,5.637,3.307,,,,
24,3,43,5.637,3.359,,,,
25,2,43,6.117,4.915,,,,
26,2,43,6.117,4.021,,,,
27,2,43,6.117,4.988,,,,
28,3,43,5.637,2.999,,,,
29,1,43,0,18.403,,,,
30,3,43,5.637,3.402,,,,
31,1,43,0,18.178,,,,
32,2,43,6.117,4.83,,,,
33,3,43,5.637,3,,,,
34,1,43,0,17.123,,,,
35,1,43,0,18.315,,,,
36,2,43,6.117,5.176,,,,
37,2,43,6.117,4.743,,,,
38,3,43,5.637,3.372,,,,
39,2,43,6.117,4.481,,,,
40,3,43,5.637,3.087,,,,
41,3,43,5.637,3.187,,,,
42,3,43,5.637,3.357,,,,
43,2,43,6.117,5.226,,,,
44,2,43,6.117,4.245,,,,
45,1,43,0,17.115,,,,
46,3,43,5.637,3.108,,,,
47,1,43,0,18.444,,,,
48,2,43,6.117,5.222,,,,
49,3,43,5.637,3.201,,,,
50,1,43,0,19.053,,,,
51,1,43,0,18.499,,,,
52,1,43,0,18.267,,,,
53,2,43,6.117,4.754,,,,
54,2,43,6.117,4.834,,,,
55,2,43,6.117,4.851,,,,
56,1,43,0,18.822,,,,
57,2,43,6.117,4.314,,,,
58,2,43,6.117,5.239,,,,
59,3,43,5.637,3.127,,,,
60,3,43,5.637,3.377,,,,
61,2,43,6.117,5.179,,,,
62,1,43,0,18.284,,,,
63,2,43,6.117,4.749,,,,
64,3,43,5.637,3.076,,,,
65,1,43,0,16.846,,,,
66,3,43,5.637,3.134,,,,
67,3,43,5.637,3.174,,,,
68,3,43,5.637,3.374,,,,
69,1,43,0,18.815,,,,
70,2,43,6.117,4.813,,,,
71,2,43,6.117,4.602,,,,
72,1,43,0,18.236,,,,
73,1,43,0,17.455,,,,
74,1,43,0,17.75,,,,
75,2,43,6.117,5.286,,,,
76,1,43,0,17.648,,,,
77,3,43,5.637,3.377,,,,
78,1,43,0,17.343,,,,
79,2,43,6.117,4.664,,,,
80,2,43,6.117,5.292,,,,
81,3,43,5.637,3.379,,,,
82,1,43,0,17.586,,,,
83,2,43,6.117,4.757,,,,
84,1,43,0,18.637,,,,
85,2,43,6.117,5.3,,,,
86,2,43,6.117,4.207,,,,
87,3,43,5.637,3.171,,,,
88,2,43,6.117,4.841,,,,
89,1,43,0,16.67,,,,
90,2,43,6.117,5.005,,,,
91,2,43,6.117,4.172,,,,
92,1,43,0,17.976,,,,
93,3,43,5.637,3.531,,,,
94,3,43,5.637,3.348,,,,
95,3,43,5.637,3.181,,,,
96,3,43,5.637,2.969,,,,
97,1,43,0,16.962,,,,
98,3,43,5.637,3.221,,,,
99,1,43,0,19.04,,,,
100,3,43,5.637,3.484,,,,
