trial,object,waypoints,trajopt cost,trajopt time
0,2,43,6.117,4.436
0,3,43,0.0,10.185
0,2,43,6.117,4.724
0,3,43,0.0,9.723
0,1,43,0.0,18.582
0,2,43,6.117,4.674
0,3,43,0.0,9.234
0,1,43,0.0,17.404
0,3,43,0.0,9.594
0,1,43,0.0,17.454
0,1,43,0.0,17.953
0,2,43,6.117,4.497
0,1,43,0.0,18.054
0,2,43,6.117,5.057
0,2,43,6.117,3.989
0,3,43,0.0,9.931
0,1,43,0.0,18.09
0,2,43,6.117,4.838
0,1,43,0.0,16.338
0,3,43,0.0,9.653
0,1,43,0.0,18.004
0,2,43,6.117,5.118
0,3,43,0.0,9.662
0,3,43,0.0,9.209
0,3,43,0.0,9.653
0,1,43,0.0,17.507
0,2,43,6.117,4.319
0,2,43,6.117,4.947
0,2,43,6.117,4.421
0,1,43,0.0,18.776
0,1,43,0.0,17.186
0,3,43,0.0,9.751
0,3,43,0.0,9.044
0,2,43,6.117,5.238
0,1,43,0.0,18.27
0,3,43,0.0,9.258
0,3,43,0.0,9.416
0,3,43,0.0,9.625
0,3,43,0.0,9.081
0,2,43,6.117,5.064
0,3,43,0.0,9.533
0,3,43,0.0,10.026
0,2,43,6.117,4.81
0,1,43,0.0,18.466
0,2,43,6.117,4.823
0,1,43,0.0,16.593
0,3,43,0.0,9.34
0,1,43,0.0,18.72
0,2,43,6.117,4.886
0,1,43,0.0,18.372
0,3,43,0.0,9.741
0,3,43,0.0,10.708
0,1,43,0.0,17.58
0,1,43,0.0,16.922
0,2,43,6.117,5.121
0,3,43,0.0,9.47
0,3,43,0.0,9.545
0,3,43,0.0,9.455
0,2,43,6.117,4.959
0,3,43,0.0,9.156
0,2,43,6.117,4.783
0,2,43,6.117,4.468
0,3,43,0.0,9.83
0,1,43,0.0,18.019
0,2,43,6.117,5.174
0,2,43,6.117,4.539
0,3,43,0.0,9.137
0,3,43,0.0,9.221
0,1,43,0.0,17.878
0,3,43,0.0,10.284
0,1,43,0.0,18.441
0,2,43,6.117,4.617
0,3,43,0.0,9.523
0,1,43,0.0,17.367
0,2,43,6.117,5.142
0,1,43,0.0,17.736
0,2,43,6.117,4.31
0,1,43,0.0,18.326
0,2,43,6.117,5.317
0,2,43,6.117,4.748
0,3,43,0.0,9.382
0,1,43,0.0,17.984
0,1,43,0.0,18.598
0,3,43,0.0,9.893
0,2,43,6.117,4.287
0,1,43,0.0,17.78
0,2,43,6.117,4.269
0,2,43,6.117,4.361
0,2,43,6.117,4.784
0,3,43,0.0,9.458
0,1,43,0.0,18.399
0,1,43,0.0,18.294
0,2,43,6.117,5.293
0,1,43,0.0,17.862
0,3,43,0.0,12.665
0,1,43,0.0,27.003
0,3,43,0.0,14.847
0,3,43,0.0,15.457
0,2,43,6.117,7.067
0,1,43,0.0,26.657
