trial,best object,waypoints,RRT min cost,RRT time,trajopt cost,trajopt time,,total time,cost change,,,,
1,2,44,7.708,4.27,6.115,6.96,,11.23,-1.593,,,,
2,2,41,7.061,4.48,6.343,3.95,,8.43,-0.718,,,,
0,3,45,7.905,4.111,7.887,5.826,,9.937,-0.018,,,,
0,2,36,6.443,3.733,6.648,4.035,,7.768,0.205,,,ave waypoints,42.9333333333333
0,2,42,7.562,3.994,6.836,7.115,,11.109,-0.726,,,,
0,2,34,6.162,4.08,6.458,3.045,,7.125,0.296,,,ave RRT cost,7.67504666666667
0,2,39,7.012,4.365,6.475,4.399,,8.764,-0.537,,,,
0,2,38,6.969,4.335,6.272,2.618,,6.953,-0.697,,,ave RRT time,4.02940666666667
0,2,62,11.088,3.683,8.542,12.634,,16.317,-2.546,,,,
0,3,46,8.429,4.139,7.904,5.009,,9.148,-0.525,,,ave trajopt cost,6.91582666666667
0,2,41,7.637,3.89,7.006,4.979,,8.869,-0.631,,,,
0,2,40,7.26,3.872,6.23,6.213,,10.085,-1.03,,,ave trajopt time,5.95606
0,2,34,6.068,4.038,5.91,3.379,,7.417,-0.157999999999999,,,,
0,2,43,7.645,3.816,5.815,5.271,,9.087,-1.83,,,,
0,3,50,8.907,4.253,8.727,6.125,,10.378,-0.18,,,,
0,2,38,6.863,4.199,6.362,6.253,,10.452,-0.500999999999999,,,ave total time,9.98546666666667
0,2,44,7.871,4.082,5.924,10.697,,14.779,-1.947,,,,
0,2,44,7.806,3.843,7.332,5.676,,9.519,-0.474,,,ave cost change,-0.75922
0,2,34,6.067,3.862,6.044,3.117,,6.979,-0.023000000000001,,,,
0,2,42,7.368,4.068,6.528,5.78,,9.848,-0.84,,,decrease percent,0.833333333333333
0,2,45,8.206,3.891,5.946,6.473,,10.364,-2.26,,,,
0,3,54,9.405,3.847,8.206,10.215,,14.062,-1.199,,,ave decrease,-0.94888
0,2,35,6.195,4.088,5.907,4.195,,8.283,-0.288,,,,
0,2,34,5.977,4.405,6.357,2.987,,7.392,0.38,,,ave increase,0.18908
0,2,35,6.061,3.82,5.991,4.347,,8.167,-0.07,,,,
0,2,40,7.319,4.459,6.033,6.376,,10.835,-1.286,,,,
0,2,47,8.553,4.023,7.133,8.198,,12.221,-1.42,,,,
0,2,38,6.865,3.708,5.915,3.756,,7.464,-0.95,,,,
0,3,50,8.933,3.849,8.623,4.755,,8.604,-0.31,,,,
0,2,41,7.284,4.007,6.72,4.981,,8.988,-0.564,,,,
0,3,48,8.513,3.912,8.582,6.545,,10.457,0.069000000000001,,,,
0,2,35,6.322,3.855,6.039,3.72,,7.575,-0.283,,,,
0,2,43,7.778,3.698,6.303,9.506,,13.204,-1.475,,,,
0,3,48,8.564,3.681,8.482,4.337,,8.018,-0.082000000000001,,,,
0,2,35,6.272,3.672,6.521,3.217,,6.889,0.249,,,,
0,3,45,7.993,3.409,7.861,4.698,,8.107,-0.132000000000001,,,,
0,3,47,8.194,3.86,7.932,4.797,,8.657,-0.262,,,,
0,2,45,8.086,3.871,6.81,8.83,,12.701,-1.276,,,,
0,2,51,8.988,3.826,7.183,10.142,,13.968,-1.805,,,,
0,2,35,6.377,3.914,6.003,3.622,,7.536,-0.374,,,,
0,3,53,9.41,3.915,8.796,5.252,,9.167,-0.614000000000001,,,,
0,2,48,8.731,3.721,5.961,10.357,,14.078,-2.77,,,,
0,2,52,9.268,3.802,6.073,12.716,,16.518,-3.195,,,,
0,2,34,6.107,4.264,6.068,2.372,,6.636,-0.039000000000001,,,,
0,2,41,7.51,4.188,6.026,4.59,,8.778,-1.484,,,,
0,2,36,6.292,3.969,6.101,3.58,,7.549,-0.191,,,,
0,2,48,8.68,4.292,7.2,11.48,,15.772,-1.48,,,,
0,2,34,5.991,3.723,6.423,3.255,,6.978,0.432,,,,
0,3,47,8.444,4.003,8.033,9.58,,13.583,-0.411000000000001,,,,
0,2,35,6.076,4.077,6.044,3.283,,7.36,-0.032,,,,
0,2,41,7.429,4.187,6.386,7.308,,11.495,-1.043,,,,
0,2,38,6.704,3.845,5.997,5.617,,9.462,-0.707,,,,
0,2,41,7.189,3.674,6.923,4.127,,7.801,-0.266,,,,
0,3,45,7.899,3.791,8.01,6.182,,9.973,0.111,,,,
0,2,34,6.12,3.758,6.063,3.5,,7.258,-0.057,,,,
0,3,51,9.095,4.037,9.059,8.467,,12.504,-0.036000000000001,,,,
