trial,best object,waypoints,RRT min cost,RRT time,trajopt cost,trajopt time
0,2,36,6.537,3.904,5.919,3.713
0,2,37,6.644,3.97,6.016,2.922
0,2,41,7.337,4.343,6.288,10.735
0,2,37,6.557,4.36,6.597,4.622
0,2,49,8.82,4.409,6.936,8.0
0,2,42,7.676,4.443,6.755,9.158
0,2,34,5.923,3.715,6.013,3.817
0,2,41,7.34,3.777,7.425,3.384
0,2,119,20.83,3.968,15.498,40.137
0,2,36,6.729,4.246,6.274,2.538
0,2,43,7.815,4.354,6.537,8.396
0,2,46,8.353,4.444,6.396,8.225
0,2,40,7.19,4.492,6.953,3.007
0,2,34,5.887,4.308,6.056,2.966
0,2,36,6.448,3.731,6.573,2.499
0,2,34,5.97,4.05,6.445,3.126
0,2,51,9.179,3.884,6.471,10.99
0,2,34,5.953,3.713,6.045,3.177
0,2,38,6.96,3.842,5.984,2.952
0,2,40,7.039,4.152,6.358,5.545
0,2,59,10.683,4.351,6.52,7.348
0,2,35,6.225,4.441,6.316,3.487
0,2,36,6.408,4.358,6.086,4.22
0,2,59,10.452,3.857,9.093,10.094
0,2,34,6.08,4.421,6.031,3.257
0,2,33,5.799,4.365,6.373,2.241
0,2,43,7.581,4.416,7.0,4.269
0,2,35,6.324,4.23,6.065,3.387
0,2,79,14.018,4.273,11.668,11.815
0,2,35,6.254,4.333,6.406,3.429
0,2,36,6.282,4.357,6.589,3.625
0,2,72,12.882,4.496,9.568,16.096
0,2,35,6.191,3.874,6.354,3.735
0,2,37,6.73,3.84,6.041,3.781
0,2,35,5.959,4.383,6.351,2.683
0,2,46,8.371,4.337,7.409,10.327
0,2,110,19.331,4.525,12.065,26.856
0,2,49,8.792,4.316,5.893,11.329
0,2,35,6.2,4.535,5.986,3.545
0,2,35,6.232,4.331,6.141,3.424
0,2,35,6.384,4.23,6.483,5.987
0,2,47,8.716,4.362,6.957,11.12
0,2,35,6.38,4.404,6.46,3.18
0,2,37,6.992,4.323,6.011,2.728
0,2,61,10.823,4.459,7.086,14.03
0,2,57,10.398,4.369,7.894,5.72
0,2,42,7.427,4.134,6.908,3.482
0,2,39,6.953,4.226,6.24,8.759
0,2,49,8.769,4.361,5.852,7.511
0,2,39,6.844,4.437,6.696,4.574
0,2,47,8.325,4.349,7.058,10.333
0,2,34,5.894,4.4,6.45,3.246
0,2,37,6.595,4.46,6.064,2.127
0,2,88,15.513,4.461,11.879,21.409
0,2,34,6.034,4.24,6.089,3.186
0,2,118,20.621,3.875,14.947,26.81
0,2,34,5.854,3.903,6.027,3.083
0,2,51,9.245,3.909,7.155,6.735
0,2,52,9.291,3.815,7.307,10.277
0,2,54,9.716,4.304,7.628,8.161
0,2,44,8.057,4.368,6.619,9.119
0,2,41,7.346,4.516,6.438,6.498
0,2,49,8.984,4.383,7.644,8.482
0,2,46,8.145,4.532,7.816,4.337
0,2,54,9.541,4.222,7.718,6.72
0,2,44,8.137,4.479,6.716,10.253
0,2,42,7.481,4.422,6.341,10.902
0,2,101,17.805,4.521,10.984,20.555
0,2,37,6.639,4.472,6.35,3.115
0,2,50,9.275,4.443,6.732,6.088
0,2,34,6.165,4.147,6.309,2.6
0,2,35,6.232,4.265,5.937,4.597
0,2,68,12.127,4.419,8.227,10.971
0,2,38,6.706,3.874,6.095,2.755
0,2,36,6.471,4.531,6.194,4.596
0,2,41,7.197,4.418,7.23,5.188
0,2,42,7.893,4.169,6.394,4.096
0,2,65,11.73,4.383,7.878,13.307
0,2,38,6.689,4.203,6.341,3.646
0,2,53,9.461,4.237,6.904,11.37
